id	sentence1	sentence2	label
1409	Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic 2015 Interscope Records 6:30 -  - 	Transmission [ feat . X Ambassadors ] Dance & Electronic $ 1.29 ( C ) 2015 Interscope Records 4:02 - Zedd - True Colors	0
1289	I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) Dance , Music , Rock , House , Electronic 26-Aug-11 - David Guetta - Nothing But the Beat	I Can Only Imagine ( feat . Chris Brown & Lil Wayne ) David Guetta Dance & Electronic 2015 Real Sounds 3:29 August 26 , 2011 -  - Nothing But the Beat 2.0 [ Explicit ]	0
2666	Silver and Gold 3:33 - Little Big Town - Pain Killer	Silver And Gold Little Big Town Country ( C ) 2014 Little Big Town LLC Under exclusive license to Capitol Records Nashville 3:31 -  - Pain Killer	1
1157	Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Dance , Music , Rock , House , Electronic , French Pop $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14 -  - Listen ( Deluxe Version )	I 'll Keep Loving you ( feat . Birdy & Jaymes Young ) David Guetta Listen ( Deluxe ) $ 1.29 2015 If Moving Your Mine November 24 , 2014 -  - 	0
3332	True Colors ( feat . Nicki Minaj ) Wiz Khalifa Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock 4:15 19-Aug-14 -  - Blacc Hollywood	Still Down ( feat . Chevy Woods & Ty Dolla $ ign ) [ Explicit ] $ 1.29 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company 4:16 August 19 , 2014 - Wiz Khalifa - Blacc Hollywood [ Explicit ]	0
1303	I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) David Guetta Dance , Music , House , Electronic , Rock $ 1.29 3:34 26-Aug-11 -  - Nothing But the Beat	In My Head ( feat . Nervo ) David Guetta Dance & Electronic 2015 Real Sounds 3:51 August 26 , 2011 -  - Nothing But the Beat 2.0 [ Explicit ]	0
1155	Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) Dance , Music , Rock , House , Electronic , French Pop $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14 -  - 	Bloody War ( Album Version ( Edited ) ) [ feat . BG ] [ Clean ] September 20 , 2005 - David Banner - Certified ( Edited Version )	0
4733	Lick It ( Norman Doray Remix ) Lick It ( Remixes ) - EP - Kaskade & Skrillex - 	Take ÌÏ There ( feat . Kiesza ) [ Netsky Remix ] 2010 Robbins Entertainment LLC 3:29 December 23 , 2014 - Skrillex & Diplo - Take ÌÏ There ( feat . Kiesza ) [ Remixes ]	0
3949	Whatcha Say ( Klubjumpers Remix Radio ) Jason Derulo Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance $ 1.29 2011 This Compilation P2011 Warner Bros. . Records Inc. 4:02 -  - Reloaded	The Sky 's The Limit ( Ayo Remix ) Jason Derulo Reloaded $ 1.29 3:25 -  - 	0
2477	Because of Your Love Greatest Hits Country , Music , Contemporary Country , Urban Cowboy $ 0.99 - Kenny Chesney - 	Ruby , Do n't Take Your Love To Town 2:55 - Kenny Rogers - 49 All Time Greatest Hits	0
