ID azienda,Area of Activity,EMTAK Code,NACE Code,Source
2,Other activities auxiliary to financial services that are not classified elsewhere,66199 (EMTAK 2008),66.19,Electronic submission                                    (14.07.2021)                                    
3,Specialised design activities,74101 (EMTAK 2008),74.10,Annual report                                    (07.02.2022)                                    
4,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report                                    (29.06.2022)                                    
5,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Electronic submission                                    (26.02.2022)                                    
6,"Renting and operational leasing of other machinery, equipment and tangible assets not classified elsewhere",77399 (EMTAK 2008),77.39,Annual report                                    (18.04.2022)                                    
7,Manufacture of plastic packing goods \xc2\xa0,22221 (EMTAK 2008),22.22,Annual report                                    (04.05.2022)                                    
8,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Statistics Estonia                                    (01.11.2021)                                    
9,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Electronic submission                                    (06.07.2020)                                    
11,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission                                    (21.09.2021)                                    
12,Holiday home (chalets),55202 (EMTAK 2008),55.20,Annual report                                    (28.04.2022)                                    
14,Specialised design activities,74101 (EMTAK 2008),74.10,Annual report                                    (30.05.2022)                                    
17,Activities attorneys and law offices,69101 (EMTAK 2008),69.10,Annual report                                    (01.07.2022)                                    
18,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (10.12.2021)                                    
19,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",47111 (EMTAK 2008),47.11,Annual report                                    (29.06.2014)                                    
20,Other building completion and finishing,43391 (EMTAK 2008),43.39,Annual report                                    (19.08.2022)                                    
21,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Electronic submission                                    (25.11.2019)                                    
22,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report                                    (30.06.2022)                                    
23,Associations and foundations for the purpose of regional/local life development and support,94992 (EMTAK 2008),94.99,Annual report                                    (14.07.2022)                                    
24,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",47111 (EMTAK 2008),47.11,Annual report                                    (29.06.2014)                                    
25,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Electronic submission                                    (22.12.2020)                                    
27,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report                                    (04.02.2017)                                    
33,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Annual report                                    (28.07.2022)                                    
34,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Annual report                                    (17.06.2022)                                    
36,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Annual report                                    (29.06.2022)                                    
37,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Field of activity code data encoding by RIK                                    (10.09.1999)                                    
38,"Management of buildings and rental houses (apartment associations, housing associations, building associations etc)",68321 (EMTAK 2008),68.32,Annual report                                    (16.08.2022)                                    
40,Associations and foundations for the purpose of regional/local life development and support,94992 (EMTAK 2008),94.99,Annual report                                    (28.06.2022)                                    
42,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Annual report                                    (30.03.2022)                                    
45,Landscape service activities,81301 (EMTAK 2008),81.30,Annual report                                    (14.08.2022)                                    
46,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Annual report                                    (01.07.2022)                                    
49,Bee keeping,01491 (EMTAK 2008),01.49,Annual report                                    (31.01.2022)                                    
50,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report                                    (17.06.2022)                                    
51,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",47111 (EMTAK 2008),47.11,Annual report                                    (03.07.2022)                                    
52,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Annual report                                    (21.06.2017)                                    
53,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (04.07.2022)                                    
54,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Electronic submission                                    (19.05.2021)                                    
55,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report                                    (19.12.2018)                                    
56,Other human resources provision,78301 (EMTAK 2008),78.30,Annual report                                    (21.07.2019)                                    
57,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report                                    (26.06.2016)                                    
58,Other education n.e.c.,8559 (EMTAK 2008),85.59,Electronic submission                                    (18.06.2021)                                    
60,Taxi operation,49321 (EMTAK 2008),49.32,Electronic submission                                    (13.11.2009)                                    
64,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report                                    (26.06.2022)                                    
67,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission                                    (19.11.2020)                                    
68,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission                                    (19.11.2020)                                    
69,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission                                    (19.11.2020)                                    
70,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission                                    (19.11.2020)                                    
71,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission                                    (19.11.2020)                                    
72,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission                                    (17.11.2020)                                    
73,Combined facilities support activities,81101 (EMTAK 2008),81.10,Annual report                                    (02.11.2021)                                    
74,Other electronical communications services,61901 (EMTAK 2008),61.90,Annual report                                    (03.06.2022)                                    
75,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Electronic submission                                    (13.09.2021)                                    
77,Agents involved in the sale of a variety of goods,46191 (EMTAK 2008),46.19,Other source                                    (25.02.2008)                                    
79,Specialised design activities,74101 (EMTAK 2008),74.10,Electronic submission                                    (13.07.2022)                                    
80,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (28.06.2022)                                    
82,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission                                    (18.02.2022)                                    
84,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (21.04.2022)                                    
86,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report                                    (14.03.2022)                                    
87,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report                                    (30.06.2022)                                    
90,Retail sale of household articles and equipment n.e.c.,47599 (EMTAK 2008),47.59,Annual report                                    (05.05.2022)                                    
92,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,Electronic submission                                    (19.09.2017)                                    
93,Development of building projects,41101 (EMTAK 2008),41.10,Electronic submission                                    (28.03.2022)                                    
94,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report                                    (02.12.2008)                                    
98,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report                                    (18.03.2021)                                    
99,Web portals,63121 (EMTAK 2008),63.12,Electronic submission                                    (16.09.2021)                                    
101,"Management of buildings and rental houses (apartment associations, housing associations, building associations etc)",68321 (EMTAK 2008),68.32,Annual report                                    (30.06.2022)                                    
102,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report                                    (07.01.2022)                                    
103,Freight transport by road,49411 (EMTAK 2008),49.41,Annual report                                    (18.03.2022)                                    
104,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.20,Annual report                                    (20.02.2022)                                    
105,Hotels,55101 (EMTAK 2008),55.10,Annual report                                    (27.07.2022)                                    
106,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report                                    (15.06.2022)                                    
108,Other software publishing,58291 (EMTAK 2008),58.29,Electronic submission                                    (17.10.2018)                                    
111,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report                                    (28.06.2022)                                    
112,Other real estate management or related activities,68329 (EMTAK 2008),68.32,Annual report                                    (02.05.2021)                                    
113,Photographic activities,74201 (EMTAK 2008),74.20,Annual report                                    (26.09.2022)                                    
114,Activities of holding companies,64201 (EMTAK 2008),64.20,Recoding                                    (01.01.2008)                                    
115,Maintenance and repair of motor vehicles,45201 (EMTAK 2008),45.20,Annual report                                    (02.06.2022)                                    
117,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission                                    (27.10.2014)                                    
118,Freight transport by road,49411 (EMTAK 2008),49.41,Annual report                                    (04.10.2022)                                    
119,Other building completion and finishing,43391 (EMTAK 2008),43.39,Annual report                                    (31.05.2022)                                    
123,Performing arts,9001 (EMTAK 2008),90.01,Annual report                                    (07.09.2021)                                    
124,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,Annual report                                    (22.02.2022)                                    
125,Freight transport by road,49411 (EMTAK 2008),49.41,Annual report                                    (06.04.2016)                                    
126,Car washing and other services,45202 (EMTAK 2008),45.20,Electronic submission                                    (06.04.2015)                                    
127,Car washing and other services,45202 (EMTAK 2008),45.20,Annual report                                    (18.05.2022)                                    
129,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report                                    (14.10.2022)                                    
130,Manufacture of furniture parts,31092 (EMTAK 2008),31.09,Annual report                                    (02.11.2022)                                    
131,Electrical installation,4321 (EMTAK 2008),43.21,Annual report                                    (18.10.2022)                                    
132,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission                                    (11.11.2014)                                    
134,"Wholesale of other general-purpose and special-purpose machinery, apparatus and equipment",46699 (EMTAK 2008),46.69,Annual report                                    (30.06.2021)                                    
135,Retail trade of motor vehicle parts and accessories,45321 (EMTAK 2008),45.32,Electronic submission                                    (10.10.2021)                                    
136,Retail trade of motor vehicle parts and accessories,4532 (EMTAK 2008),45.32,Annual report                                    (26.10.2020)                                    
137,Maintenance and repair of motor vehicles,45201 (EMTAK 2008),45.20,Annual report                                    (27.06.2022)                                    
139,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,Annual report                                    (16.06.2022)                                    
140,Sea ship loading services (freighting),52292 (EMTAK 2008),52.29,Annual report                                    (27.06.2022)                                    
143,"Manufacture of prefabricated wooden buildings (e.g. saunas, summerhouses, houses) or elements thereof",16232 (EMTAK 2008),16.23,Annual report                                    (15.06.2022)                                    
145,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (05.07.2021)                                    
146,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (29.06.2021)                                    
147,Activities of insurance agents and brokers,66221 (EMTAK 2008),66.22,Annual report                                    (09.04.2019)                                    
148,"Management of buildings and rental houses (apartment associations, housing associations, building associations etc)",68321 (EMTAK 2008),68.32,Annual report                                    (30.06.2022)                                    
149,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report                                    (23.03.2021)                                    
150,Wholesale of perfume and cosmetics,46451 (EMTAK 2008),46.45,Annual report                                    (01.07.2022)                                    
151,Wholesale of perfume and cosmetics,46451 (EMTAK 2008),46.45,Annual report                                    (24.11.2021)                                    
152,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Electronic submission                                    (29.09.2021)                                    
155,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Electronic submission                                    (13.09.2021)                                    
156,Wholesale of wood and products for the first-stage processing of wood,46731 (EMTAK 2008),46.73,Annual report                                    (21.06.2019)                                    
157,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report                                    (16.08.2021)                                    
158,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",08111 (EMTAK 2008),08.11,Electronic submission                                    (12.07.2012)                                    
160,Advertising agencies,73111 (EMTAK 2008),73.11,Electronic submission                                    (26.10.2021)                                    
161,Motion picture and video production,59111 (EMTAK 2008),59.11,Electronic submission                                    (30.12.2020)                                    
162,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission                                    (04.02.2020)                                    
