company_name_left,industry_left,headquarters_city_left,company_name_right,industry_right,headquarters_city_right,label
idfc first bank,Banking,,hdfc bank,Banking,,0
tata chemicals,Chemicals,,tata capital,NBFC,,0
kfin technologies,IT Services & Consulting,,kfintech,FinTech,,0
morepen laboratories,Pharma,,unichem laboratories,Pharma,,0
prime focus,Animation & VFX,,prime focus technologies,IT Services & Consulting,,0
healthkart,Internet,,healthcare at home,Healthcare,,0
reliance cement company,Building Material,,reliance capital,Financial Services,,0
srm technologies pvt.ltd,IT Services & Consulting,,aqm technologies,IT Services & Consulting,,0
expleo group,IT Services & Consulting,,expleo solutions,IT Services & Consulting,,0
bdr pharmaceuticals international,Pharma,,msd pharmaceuticals,Pharma,,0
apollo diagnostics,Healthcare,,apollo hospitals,Healthcare,,0
parijat industries (india),Chemicals,,aarti industries,Chemicals,,0
mahindra retail,Retail,,mahindra logistics,Other,,1
reliance hr services,Recruitment,,reliance home finance,NBFC,,0
reliance bp mobility,Oil & Gas,,reliance ajio,Internet,,0
manappuram home finance,Financial Services,,manba finance,NBFC,,0
hinduja foundries,Industrial Machinery,,hinduja group,Automobile,,0
art housing finance (india),Financial Services,,pnb housing finance,Financial Services,,0
embitel technologies,IT Services & Consulting,,collabera technologies,IT Services & Consulting,,0
tirupati group,Pharma,,tirupati medicare,Pharma,,0
collman services,BPO,,zealous services,BPO,,0
qatar steel,Iron & Steel,,qatar petroleum,Oil & Gas,,0
mantra softech,IT Services & Consulting,,mantra technologies,IT Services & Consulting,,0
manikgarh cement,Building Material,,meghalaya cements,Building Material,,0
hindustan copper,Metals & Mining,,hindustan platinum,Metals & Mining,,0
orient blackswan,Printing & Publishing,,orient cement,Building Material,,0
sharda hospital,Healthcare,,sharda university,Education & Training,,0
hotstar,Internet,,housr,Internet,,0
betterplace select,Recruitment,,betterplace safety solutions,IT Services & Consulting,,0
infoplus technologies,IT Services & Consulting,,infinity data technologies,IT Services & Consulting,,0
orient abrasives,Metals & Mining,,orient bell,Building Material,,0
think future technologies,IT Services & Consulting,,vehant technologies,IT Services & Consulting,,0
the irish house,Hospitality,,the park hotels,Hospitality,,0
naresh i technologies,IT Services & Consulting,,lister technologies,IT Services & Consulting,,0
lanco solar energy,Power,,lanco anpara power,Power,,0
