company_name,industry,headquarters_address,headquarters_city,headquarters_country,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,representative_name,total_raised,company_description,company_stage,share_price,legal_form,_source_table
TCS,IT Services & Consulting,,,,1968,Public,,,,,,,,,,,,,,,AmbitionBox
Accenture,IT Services & Consulting,,,,1989,Public,,,,,,,,,,,,,,,AmbitionBox
Cognizant,IT Services & Consulting,,,,1994,Private,,,,,,,,,,,,,,,AmbitionBox
ICICI Bank,Banking,,,,1994,Public,,,,,,,,,,,,,,,AmbitionBox
HDFC Bank,Banking,,,,1994,Public,,,,,,,,,,,,,,,AmbitionBox
Wipro,IT Services & Consulting,,,,1945,Public,,,,,,,,,,,,,,,AmbitionBox
Infosys,IT Services & Consulting,,,,1981,Public,,,,,,,,,,,,,,,AmbitionBox
Capgemini,IT Services & Consulting,,,,1967,Public,,,,,,,,,,,,,,,AmbitionBox
Tech Mahindra,IT Services & Consulting,,,,1986,Public,,,,,,,,,,,,,,,AmbitionBox
Genpact,IT Services & Consulting,,,,1997,Public,,,,,,,,,,,,,,,AmbitionBox
HCLTech,IT Services & Consulting,,,,1991,Public,,,,,,,,,,,,,,,AmbitionBox
Amazon,Internet,,,,1994,Public,,,,,,,,,,,,,,,AmbitionBox
Axis Bank,Banking,,,,1993,Public,,,,,,,,,,,,,,,AmbitionBox
IBM,Software Product,,,,1911,Public,,,,,,,,,,,,,,,AmbitionBox
Concentrix Corporation,BPO,,,,1983,Public,,,,,,,,,,,,,,,AmbitionBox
Reliance jio,Telecom,,,,2007,Public,,,,,,,,,,,,,,,AmbitionBox
Larsen & Toubro Limited,Engineering & Construction,,,,1946,Public,,,,,,,,,,,,,,,AmbitionBox
HDB Financial Services,NBFC,,,,2007,Private,,,,,,,,,,,,,,,AmbitionBox
Vodafone Idea,IT Services & Consulting,,,,2018,Public,,,,,,,,,,,,,,,AmbitionBox
Teleperformance,BPO,,,,1978,Private,,,,,,,,,,,,,,,AmbitionBox
Reliance Retail,Retail,,,,2006,Private,,,,,,,,,,,,,,,AmbitionBox
Kotak Mahindra Bank,Banking,,,,2003,Public,,,,,,,,,,,,,,,AmbitionBox
Deloitte,Management Consulting,,,,1845,Private,,,,,,,,,,,,,,,AmbitionBox
Reliance Industries,Oil & Gas,,,,1973,Public,,,,,,,,,,,,,,,AmbitionBox
Bharti Airtel,Telecom,,,,1995,Public,,,,,,,,,,,,,,,AmbitionBox
Tata Motors,Automobile,,,,1945,Public,,,,,,,,,,,,,,,AmbitionBox
BYJU'S,EdTech,,,,2011,Private,,,,,,,,,,,,,,,AmbitionBox
Flipkart,Internet,,,,2007,Public,,,,,,,,,,,,,,,AmbitionBox
WNS,Analytics & KPO,,,,1996,Private,,,,,,,,,,,,,,,AmbitionBox
Mahindra & Mahindra,Automobile,,,,1945,Public,,,,,,,,,,,,,,,AmbitionBox
IndusInd Bank,Banking,,,,1994,Public,,,,,,,,,,,,,,,AmbitionBox
Ernst & Young,Consulting,,,,1989,Private,,,,,,,,,,,,,,,AmbitionBox
DXC Technology,IT Services & Consulting,,,,2017,Public,,,,,,,,,,,,,,,AmbitionBox
Hinduja Global Solutions,BPO,,,,2000,Public,,,,,,,,,,,,,,,AmbitionBox
Infosys BPM,BPO,,,,2002,,,,,,,,,,,,,,,,AmbitionBox
Maruti Suzuki,Automobile,,,,1983,Public,,,,,,,,,,,,,,,AmbitionBox
IDFC FIRST Bank,Banking,,,,2018,Public,,,,,,,,,,,,,,,AmbitionBox
HSBC,Banking,,,,2002,Private,,,,,,,,,,,,,,,AmbitionBox
Bajaj Finserv,Insurance,,,,2007,Public,,,,,,,,,,,,,,,AmbitionBox
Ericsson,Telecom,,,,1876,Private,,,,,,,,,,,,,,,AmbitionBox
Conneqt Business Solutions,Analytics & KPO,,,,2002,Private,,,,,,,,,,,,,,,AmbitionBox
Mphasis,IT Services & Consulting,,,,1998,Public,,,,,,,,,,,,,,,AmbitionBox
Startek,BPO,,,,2017,Public,,,,,,,,,,,,,,,AmbitionBox
Dr. Reddy's,Pharma,,,,1986,Public,,,,,,,,,,,,,,,AmbitionBox
Sutherland Global Services,IT Services & Consulting,,,,1986,Private,,,,,,,,,,,,,,,AmbitionBox
Cipla Pharmaceutical,Pharma,,,,1935,Public,,,,,,,,,,,,,,,AmbitionBox
Yes Bank,Banking,,,,2004,Public,,,,,,,,,,,,,,,AmbitionBox
Udaan,Internet,,,,2016,Private,,,,,,,,,,,,,,,AmbitionBox
Jana Small Finance Bank,Banking,,,,2006,Public,,,,,,,,,,,,,,,AmbitionBox
Asian Paints,Chemicals,,,,1942,Public,,,,,,,,,,,,,,,AmbitionBox
NTT DATA,IT Services & Consulting,,,,1988,Private,,,,,,,,,,,,,,,AmbitionBox
ICICI Prudential Life Insurance,Insurance,,,,2000,Public,,,,,,,,,,,,,,,AmbitionBox
HDFC Life,Insurance,,,,2000,Public,,,,,,,,,,,,,,,AmbitionBox
Lupin,Pharma,,,,1968,Public,,,,,,,,,,,,,,,AmbitionBox
HCL Group,IT Services & Consulting,,,,[],,,,,,,,,,,,,,,,AmbitionBox
PwC,Consulting,,,,1998,Partnership,,,,,,,,,,,,,,,AmbitionBox
EXL Service,Analytics & KPO,,,,1999,Private,,,,,,,,,,,,,,,AmbitionBox
iEnergizer,BPO,,,,2000,Private,,,,,,,,,,,,,,,AmbitionBox
Indian Army,Defence & Aerospace,,,,1895,Public,,,,,,,,,,,,,,,AmbitionBox
L&T Infotech,IT Services & Consulting,,,,1996,Public,,,,,,,,,,,,,,,AmbitionBox
UltraTech Cement,Building Material,,,,1983,Public,,,,,,,,,,,,,,,AmbitionBox
Bajaj Finance,NBFC,,,,1987,Private,,,,,,,,,,,,,,,AmbitionBox
Home Credit Finance,Financial Services,,,,2012,Private,,,,,,,,,,,,,,,AmbitionBox
KPMG,Consulting,,,,1987,Partnership,,,,,,,,,,,,,,,AmbitionBox
Paytm,BPO,,,,2010,Public,,,,,,,,,,,,,,,AmbitionBox
Mindtree,IT Services & Consulting,,,,1999,Public,,,,,,,,,,,,,,,AmbitionBox
Hindustan Unilever,FMCG,,,,1933,Public,,,,,,,,,,,,,,,AmbitionBox
ITC,FMCG,,,,1975,Public,,,,,,,,,,,,,,,AmbitionBox
Ujjivan Small Finance Bank,Banking,,,,2017,Public,,,,,,,,,,,,,,,AmbitionBox
IIFL,Financial Services,,,,1995,Public,,,,,,,,,,,,,,,AmbitionBox
Bandhan Bank,Banking,,,,2001,Public,,,,,,,,,,,,,,,AmbitionBox
OPPO,Consumer Electronics & Appliances,,,,2004,Public,,,,,,,,,,,,,,,AmbitionBox
JP Morgan Chase,Investment Banking / Venture Capital / Private Equity,,,,2000,Private,,,,,,,,,,,,,,,AmbitionBox
Wells Fargo India,IT Services & Consulting,,,,1852,Public,,,,,,,,,,,,,,,AmbitionBox
Zydus Cadila,Pharma,,,,1952,Public,,,,,,,,,,,,,,,AmbitionBox
Delhivery,Logistics,,,,2011,Private,,,,,,,,,,,,,,,AmbitionBox
Shriram Transport Finance,NBFC,,,,1979,Public,,,,,,,,,,,,,,,AmbitionBox
Sun Pharmaceutical Industries,Pharma,,,,1983,Public,,,,,,,,,,,,,,,AmbitionBox
Shapoorji Pallonji Group,Engineering & Construction,,,,1865,Private,,,,,,,,,,,,,,,AmbitionBox
Ashok Leyland,Automobile,,,,1948,Public,,,,,,,,,,,,,,,AmbitionBox
Aurobindo Pharma,Pharma,,,,1986,Public,,,,,,,,,,,,,,,AmbitionBox
Vivo,Consumer Electronics & Appliances,,,,2009,Private,,,,,,,,,,,,,,,AmbitionBox
Mahindra & Mahindra Financial Services,NBFC,,,,1991,Public,,,,,,,,,,,,,,,AmbitionBox
AU Small Finance Bank,Financial Services,,,,1996,Private,,,,,,,,,,,,,,,AmbitionBox
Siemens,Power,,,,1847,Public,,,,,,,,,,,,,,,AmbitionBox
Apollo Hospitals,Healthcare,,,,1983,Public,,,,,,,,,,,,,,,AmbitionBox
Hewlett-Packard Enterprise,IT Services & Consulting,,,,2015,Private,,,,,,,,,,,,,,,AmbitionBox
Nokia,Hardware & Networking,,,,1865,Private,,,,,,,,,,,,,,,AmbitionBox
Max Life Insurance,Insurance,,,,2000,JV,,,,,,,,,,,,,,,AmbitionBox
TATA Steel,Iron & Steel,,,,1907,Public,,,,,,,,,,,,,,,AmbitionBox
TATA Steel,Iron & Steel,,,,1907,Public,,,,,,,,,,,,,,,AmbitionBox
First Source,BPO,,,,2001,Public,,,,,,,,,,,,,,,AmbitionBox
Hexaware Technologies,IT Services & Consulting,,,,1990,Public,,,,,,,,,,,,,,,AmbitionBox
JSW Steel,Iron & Steel,,,,1982,Public,,,,,,,,,,,,,,,AmbitionBox
Oracle,Software Product,,,,1977,Public,,,,,,,,,,,,,,,AmbitionBox
