company_name,industry,sector,business_category,headquarters_city,headquarters_country,headquarters_full_address,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,total_raised,representative_name,_source_table
Proteus Digital Health Careers,Pharmaceuticals,,[],Redwood City,CA,,2004.0,,,201 to 500 employees,,,,,www.proteus.com,,,,DDD-teamblind-com
Zelis Careers,Information Technology & Services,,[],Bedminster,NJ,,2016.0,,,"1,001 to 5,000 employees",,,,,www.zelis.com,,,,DDD-teamblind-com
UpNest Careers,Real Estate,,[],Burlingame,CA,,2013.0,,,1 to 50 employees,,,,,www.upnest.com,,,,DDD-teamblind-com
conferacity Careers,Broadcast & Online Media,,[],Menlo Park,CA,,2013.0,,,1 to 50 employees,,,,,conferacity.com,,,,DDD-teamblind-com
Zenoti Careers,Computer Software,,[],Bellevue,WA,,2010.0,,,"501 to 1,000 employees",,,,,www.zenoti.com,,,,DDD-teamblind-com
LeaseLock Careers,Insurance,,[],Marina del Rey,CA,,2016.0,,,51 to 200 employees,,,,,leaselock.com,,,,DDD-teamblind-com
Kespry Careers,Computer Software,,[],Menlo Park,CA,,2013.0,,,51 to 200 employees,,,,,www.kespry.com,,,,DDD-teamblind-com
NewsCred Careers,Marketing & Advertising,,[],New York,NY,,2008.0,,,201 to 500 employees,,,,,www.newscred.com,,,,DDD-teamblind-com
Brane Enterprises Careers,Information Technology & Services,,[],Hyderabad,India,,2017.0,,,201 to 500 employees,,,,,nslhub.com,,,,DDD-teamblind-com
Markel Careers,Insurance,,[],Glen Allen,VA,,1930.0,,,"1,001 to 5,000 employees",,,,,www.markel.com,,,,DDD-teamblind-com
ESO Fund Careers,Venture Capital & Private Equity,,[],San Mateo,CA,,2012.0,,,1 to 50 employees,,,,,www.esofund.com,,,,DDD-teamblind-com
Indigo Ag Careers,Food & Beverages,,[],Boston,MA,,2013.0,,,"501 to 1,000 employees",,,,,www.indigoag.com,,,,DDD-teamblind-com
"MSIG Holdings (Americas), Inc. Careers",Insurance,,[],Warren,NJ,,1988.0,,,201 to 500 employees,,,,,www.msigusa.com,,,,DDD-teamblind-com
MindGeek Careers,Internet,,[],Luxembourg City,Luxembourg,,2004.0,,,"1,001 to 5,000 employees",,,,,mindgeek.com,,,,DDD-teamblind-com
ForeScout Technologies Careers,Computer & Network Security,,[],San Jose,CA,,2000.0,,,"1,001 to 5,000 employees",,,,,www.crunchbase.com/#/entity,,,,DDD-teamblind-com
Marketplace Careers,Broadcast & Online Media,,[],Los Angeles,CA,,1989.0,,,51 to 200 employees,,,,,www.marketplace.org,,,,DDD-teamblind-com
SanDisk Careers,Semiconductors,,[],Milpitas,CA,,1988.0,,,"5,001 to 10,000 employees",,,,,www.sandisk.com,,,,DDD-teamblind-com
Wag Careers,Consumer Goods,,[],Mountain View,CA,,2014.0,,,51 to 200 employees,,,,,www.wagwalking.com,,,,DDD-teamblind-com
Maisonette Careers,"Apparel, Fashion & Luxury",,[],Brooklyn,NY,,2017.0,,,51 to 200 employees,,,,,www.maisonette.com,,,,DDD-teamblind-com
Fox Thermal Careers,Industrial Automation,,[],Marina,CA,,1994.0,,,1 to 50 employees,,,,,www.foxthermal.com,,,,DDD-teamblind-com
Optimity Advisors Careers,Management Consulting,,[],Washington,DC,,2009.0,,,201 to 500 employees,,,,,www.optimityadvisors.com,,,,DDD-teamblind-com
potenit Careers,Information Technology & Services,,[],San Jose,CA,,2010.0,,,1 to 50 employees,,,,,potenit.com,,,,DDD-teamblind-com
Plexus Careers,Computer Hardware,,[],Neenah,WI,,1979.0,,,"10,000+ employees",,,,,www.plexus.com,,,,DDD-teamblind-com
CureMatch Careers,Biotechnology,,[],San Diego,CA,,2015.0,,,1 to 50 employees,,,,,www.curematch.com,,,,DDD-teamblind-com
intertrend communications Careers,Marketing & Advertising,,[],Long Beach,CA,,1991.0,,,51 to 200 employees,,,,,www.intertrend.com,,,,DDD-teamblind-com
Emotive Careers,Computer Software,,[],Los Angeles,CA,,2018.0,,,51 to 200 employees,,,,,emotive.io,,,,DDD-teamblind-com
JOOR Careers,Internet,,[],New York,NY,,2010.0,,,51 to 200 employees,,,,,www.joor.com,,,,DDD-teamblind-com
BLEND360 Careers,Marketing & Advertising,,[],Columbia,MD,,2016.0,,,201 to 500 employees,,,,,www.blend360.com,,,,DDD-teamblind-com
AT&T Careers,Telecommunications,,[],Dallas,TX,,1983.0,,,"10,000+ employees",,,,,www.att.com,,,,DDD-teamblind-com
NVISIA Careers,Computer Software,,[],Chicago,IL,,1993.0,,,51 to 200 employees,,,,,www.nvisia.com,,,,DDD-teamblind-com
mastery Careers,Computer Software,,[],Chicago,IL,,2019.0,,,51 to 200 employees,,,,,mastery.net,,,,DDD-teamblind-com
Levi Strauss & Co. Careers,"Apparel, Fashion & Luxury",,[],San Francisco,CA,,1853.0,,,"10,000+ employees",,,,,www.levi.com,,,,DDD-teamblind-com
X-Team Careers,Internet,,[],Austin,TX,,2004.0,,,201 to 500 employees,,,,,x-team.com,,,,DDD-teamblind-com
RSE Careers,Marketing & Advertising,,[],Sacramento,CA,,1960.0,,,51 to 200 employees,,,,,www.rs-e.com,,,,DDD-teamblind-com
Holland & Knight Careers,Legal Services,,[],Miami,FL,,1968.0,,,"1,001 to 5,000 employees",,,,,www.hklaw.com,,,,DDD-teamblind-com
Mystery Science Careers,E-learning,,[],San Francisco,CA,,2011.0,,,1 to 50 employees,,,,,www.mystery.org,,,,DDD-teamblind-com
Rxadvance Corp Careers,Information Technology & Services,,[],Southborough,MA,,2013.0,,,51 to 200 employees,,,,,www.rxadvance.com,,,,DDD-teamblind-com
ArcelorMittal Careers,Materials & Manufacturing,,[],Luxembourg,Luxembourg,,2006.0,,,"10,000+ employees",,,,,corporate.arcelormittal.com,,,,DDD-teamblind-com
Webflow Careers,Computer Software,,[],San Francisco,CA,,2012.0,,,51 to 200 employees,,,,,www.webflow.com,,,,DDD-teamblind-com
NAPCO Careers,Electrical & Electronic Manufacturing,,[],Amityville,NY,,1969.0,,,"501 to 1,000 employees",,,,,napcosecurity.com,,,,DDD-teamblind-com
TreeHouse Foods Careers,Food & Beverages,,[],Oak Brook,IL,,2005.0,,,"10,000+ employees",,,,,www.treehousefoods.com,,,,DDD-teamblind-com
Amadeus Careers,Information Technology & Services,,[],Madrid,Spain,,1987.0,,,"10,000+ employees",,,,,www.amadeus.com,,,,DDD-teamblind-com
Critical Start Careers,Information Technology & Services,,[],Plano,TX,,2012.0,,,201 to 500 employees,,,,,www.criticalstart.com,,,,DDD-teamblind-com
Korn Ferry Careers,Management Consulting,,[],Los Angeles,CA,,1969.0,,,"5,001 to 10,000 employees",,,,,www.kornferry.com,,,,DDD-teamblind-com
L&T Technology Services Careers,Information Technology & Services,,[],Vadodara,India,,2009.0,,,"10,000+ employees",,,,,www.ltts.com,,,,DDD-teamblind-com
mParticle Careers,Internet,,[],New York,NY,,2012.0,,,51 to 200 employees,,,,,www.mparticle.com,,,,DDD-teamblind-com
BrightEdge Careers,Computer Software,,[],Foster City,CA,,2007.0,,,201 to 500 employees,,,,,www.brightedge.com,,,,DDD-teamblind-com
JS Products Careers,Wholesale,,[],Las Vegas,NV,,1986.0,,,51 to 200 employees,,,,,www.jsproducts.com,,,,DDD-teamblind-com
WorkFusion Careers,Computer Software,,[],New York,NY,,2010.0,,,201 to 500 employees,,,,,www.workfusion.com,,,,DDD-teamblind-com
Marathon Petroleum Careers,Oil & Energy,,[],Findlay,OH,,1887.0,,,"10,000+ employees",,,,,www.marathonpetroleum.com,,,,DDD-teamblind-com
