company_name,industry,headquarters_address,headquarters_city,headquarters_country,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,representative_name,total_raised,company_description,company_stage,share_price,legal_form,_source_table
Agrana,Consumer goods,,,,1988,,,,,,,,,,,,"Sugar, starch, fruit juice concentrates and fruit preparation",,,,MalPatSaj-wikipedia-org
pewag group,Industrials,,,,1479,,,,,,,,,,,,Chain manufacturer,,,,MalPatSaj-wikipedia-org
AHT Cooling Systems,Industrials,,,,1983,,,,,,,,,,,,Cooling and refrigeration,,,,MalPatSaj-wikipedia-org
Ammerer Bed Company,Consumer goods,,,,1763,,,,,,,,,,,,,,,,MalPatSaj-wikipedia-org
ams AG,Technology,,,,1981,,,,,,,,,,,,Semiconductors,,,,MalPatSaj-wikipedia-org
Andritz,Industrials,,,,1852,,,,,,,,,,,,Plant engineering,,,,MalPatSaj-wikipedia-org
Atomic Skis,Consumer goods,,,,1955,,,,,,,,,,,,"Skis, part of Amer Sports (Finland)",,,,MalPatSaj-wikipedia-org
Augarten porcelain,Consumer goods,,,,1923,,,,,,,,,,,,,,,,MalPatSaj-wikipedia-org
AMAG Austria Metall AG,Industrials,,,,1938,,,,,,,,,,,,General manufacturing,,,,MalPatSaj-wikipedia-org
Austria Wirtschaftsservice Gesellschaft (aws),Financials,,,,1954,,,,,,,,,,,,Development and financing bank,,,,MalPatSaj-wikipedia-org
Austrian Airlines,Consumer services,,,,1957,,,,,,,,,,,,Flag carrier airline. part of Lufthansa (Germany),,,,MalPatSaj-wikipedia-org
AVL,Industrials,,,,1948,,,,,,,,,,,,Automotive engineering,,,,MalPatSaj-wikipedia-org
B&R,Industrials,,,,1979,,,,,,,,,,,,Automation and process control,,,,MalPatSaj-wikipedia-org
Bank Austria,Financials,,,,1855,,,,,,,,,,,,Banking,,,,MalPatSaj-wikipedia-org
bauMax,Consumer services,,,,1976,,,,,,,,,,,,Defunct 2015,,,,MalPatSaj-wikipedia-org
BAWAG,Financials,,,,1922,,,,,,,,,,,,Banking,,,,MalPatSaj-wikipedia-org
Bene AG,Consumer goods,,,,1790,,,,,,,,,,,,Office furniture,,,,MalPatSaj-wikipedia-org
Bestattung Wien,Consumer services,,,,1907,,,,,,,,,,,,Funeral director,,,,MalPatSaj-wikipedia-org
Billa,Consumer services,,,,1953,,,,,,,,,,,,Supermarkets,,,,MalPatSaj-wikipedia-org
Böhler-Uddeholm,Basic materials,,,,1991,,,,,,,,,,,,Steel,,,,MalPatSaj-wikipedia-org
Borealis,Basic materials,,,,1994,,,,,,,,,,,,Polyethylene,,,,MalPatSaj-wikipedia-org
Bösendorfer,Consumer goods,,,,1828,,,,,,,,,,,,"Pianos, now part of Yamaha Corporation (Japan)",,,,MalPatSaj-wikipedia-org
