company_name,industry,sector,business_category,headquarters_city,headquarters_country,headquarters_full_address,year_founded,company_age,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,total_raised,representative_name,_source_table
Sony,,,['Consumer electronics'],[],[],,,[],,,,,,,,,,,,campaignindia
Samsung,,,['Electronics/White goods'],[],[],,,[],,,,,,,,,,,,campaignindia
Panasonic,,,['Consumer electronics'],[],[],,,[],,,,,,,,,,,,campaignindia
LG,,,['Electronics/White goods'],[],[],,,[],,,,,,,,,,,,campaignindia
Canon,,,['Camera/Office equipment'],[],[],,,[],,,,,,,,,,,,campaignindia
Apple,,,['Mobile Phone'],[],[],,,[],,,,,,,,,,,,campaignindia
Hewlett-Packard,,,['Computer'],[],[],,,[],,,,,,,,,,,,campaignindia
Google,,,['Internet search engine'],[],[],,,[],,,,,,,,,,,,campaignindia
Nestlé,,,['Food and drink'],[],[],,,[],,,,,,,,,,,,campaignindia
Nike,,,['Sports retail'],[],[],,,[],,,,,,,,,,,,campaignindia
McDonald’s,,,['Fast food'],[],[],,,[],,,,,,,,,,,,campaignindia
adidas,,,['Sports retail'],[],[],,,[],,,,,,,,,,,,campaignindia
Coca-Cola,,,['Soft drinks'],[],[],,,[],,,,,,,,,,,,campaignindia
7-Eleven,,,['Convenience store'],[],[],,,[],,,,,,,,,,,,campaignindia
Starbucks,,,['Coffee chain'],[],[],,,[],,,,,,,,,,,,campaignindia
Colgate,,,['Toothpaste'],[],[],,,[],,,,,,,,,,,,campaignindia
Facebook,,,['Social networking'],[],[],,,[],,,,,,,,,,,,campaignindia
Yahoo,,,['Internet search engine'],[],[],,,[],,,,,,,,,,,,campaignindia
Honda,,,['Car/Motorcycle'],[],[],,,[],,,,,,,,,,,,campaignindia
Toshiba,,,['Electronics/White goods'],[],[],,,[],,,,,,,,,,,,campaignindia
Microsoft,,,['Computer Software'],[],[],,,[],,,,,,,,,,,,campaignindia
Maggi,,,['Instant Noodles'],[],[],,,[],,,,,,,,,,,,campaignindia
Lotte,,,['Chewing/ Bubble gum'],[],[],,,[],,,,,,,,,,,,campaignindia
KFC,,,['Fast-Food'],[],[],,,[],,,,,,,,,,,,campaignindia
Nikon,,,['Camera'],[],[],,,[],,,,,,,,,,,,campaignindia
Hitachi,,,['Consumer Electronics'],[],[],,,[],,,,,,,,,,,,campaignindia
