company_name,industry,headquarters_address,headquarters_city,headquarters_country,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,representative_name,total_raised,company_description,company_stage,share_price,legal_form,_source_table
Apple,"['Tech', 'Software', 'Dow jones', 'Tech Hardware', 'Electronics']",,,USA,,,,,$2.351 T,,,,,,,,,,$147.81,,companiesMarketCap_dataset
Bristol-myers Squibb,"['Pharmaceuticals', 'Biotech']",,,USA,,,,,$172.49 B,,,,,,,,,,$81.13,,companiesMarketCap_dataset
Wells Fargo,"['Banks', 'Financial services']",,,USA,,,,,$175.05 B,,,,,,,,,,$45.94,,companiesMarketCap_dataset
Nike,"['Sports goods', 'Footwear', 'Dow jones', 'Clothing']",,,USA,,,,,$175.54 B,,,,,,,,,,$112.20,,companiesMarketCap_dataset
Walt Disney,"['Entertainment', 'Dow jones']",,,USA,,,,,$177.08 B,,,,,,,,,,$99.43,,companiesMarketCap_dataset
Abbott Laboratories,['Medical devices'],,,USA,,,,,$188.46 B,,,,,,,,,,$108.09,,companiesMarketCap_dataset
Accenture,['Professional services'],,,Ireland,,,,,$189.25 B,,,,,,,,,,$300.13,,companiesMarketCap_dataset
T-mobile Us,['Telecommunication'],,,USA,,,,,$189.62 B,,,,,,,,,,$152.41,,companiesMarketCap_dataset
Novartis,"['Pharmaceuticals', 'Biotech']",,,Switzerland,,,,,$194.41 B,,,,,,,,,,$89.99,,companiesMarketCap_dataset
Toyota,"['Automakers', 'Manufacturing']",,,Japan,,,,,$199.92 B,,,,,,,,,,$146.53,,companiesMarketCap_dataset
Danaher,['Conglomerate'],,,USA,,,,,$199.62 B,,,,,,,,,,$274.23,,companiesMarketCap_dataset
Mcdonald,"['Restaurant chains', 'Dow jones', 'Food']",,,USA,,,,,$200.24 B,,,,,,,,,,$273.40,,companiesMarketCap_dataset
Icbc,"['Banks', 'Financial services']",,,China,,,,,$201.96 B,,,,,,,,,,$0.49,,companiesMarketCap_dataset
L'oréal,"['Consumer goods', 'CAC 40', 'Cosmetics and Beauty']",,,France,,,,,$204.92 B,,,,,,,,,,$379.90,,companiesMarketCap_dataset
Cisco,"['Tech', 'Electronics', 'Networking hardware', 'Dow jones', 'Telecommunications equipment', 'Tech Hardware']",,,USA,,,,,$204.17 B,,,,,,,,,,$49.70,,companiesMarketCap_dataset
Shell,"['Oil&Gas', 'Energy']",,,UK,,,,,$206.97 B,,,,,,,,,,$57.72,,companiesMarketCap_dataset
Costco,"['Retail', 'Supermarket Chains']",,,USA,,,,,$218.88 B,,,,,,,,,,$494.53,,companiesMarketCap_dataset
Astrazeneca,"['Pharmaceuticals', 'Biotech']",,,UK,,,,,$213.83 B,,,,,,,,,,$68.47,,companiesMarketCap_dataset
Thermo Fisher Scientific,"['Scientific & Technical Instruments', 'Diagnostics and Testing', 'Biotech']",,,USA,,,,,$220.80 B,,,,,,,,,,$563.00,,companiesMarketCap_dataset
Broadcom,"['Semiconductors', 'Tech']",,,USA,,,,,$219.02 B,,,,,,,,,,$540.80,,companiesMarketCap_dataset
Reliance Industries,['Conglomerate'],,,India,,,,,$226.23 B,,,,,,,,,,$33.44,,companiesMarketCap_dataset
Oracle,"['Tech', 'Software']",,,USA,,,,,$224.72 B,,,,,,,,,,$83.35,,companiesMarketCap_dataset
Asml,"['Semiconductors', 'Tech', 'Tech Hardware']",,,Netherlands,,,,,$247.88 B,,,,,,,,,,$605.71,,companiesMarketCap_dataset
Alibaba,"['E-Commerce', 'Tech', 'Internet', 'Retail']",,,China,,,,,$240.69 B,,,,,,,,,,$90.06,,companiesMarketCap_dataset
Merck,"['Pharmaceuticals', 'Dow jones', 'Biotech']",,,USA,,,,,$278.99 B,,,,,,,,,,$110.04,,companiesMarketCap_dataset
Coca-cola,"['Beverages', 'Dow jones']",,,USA,,,,,$278.28 B,,,,,,,,,,$64.35,,companiesMarketCap_dataset
Roche,"['Pharmaceuticals', 'Biotech']",,,Switzerland,,,,,$270.73 B,,,,,,,,,,$329.15,,companiesMarketCap_dataset
Novo Nordisk,"['Pharmaceuticals', 'Biotech']",,,Denmark,,,,,$285.74 B,,,,,,,,,,$126.90,,companiesMarketCap_dataset
Abbvie,"['Biotech', 'Pharmaceuticals']",,,USA,,,,,$289.42 B,,,,,,,,,,$163.66,,companiesMarketCap_dataset
Pfizer,"['Pharmaceuticals', 'Biotech']",,,USA,,,,,$285.77 B,,,,,,,,,,$50.91,,companiesMarketCap_dataset
Kweichow Moutai,"['Alcoholic beverages', 'Beverages']",,,China,,,,,$292.41 B,,,,,,,,,,$232.78,,companiesMarketCap_dataset
Bank Of America,"['Banks', 'Financial services']",,,USA,,,,,$289.44 B,,,,,,,,,,$36.08,,companiesMarketCap_dataset
Nestlé,['Food'],,,Switzerland,,,,,$331.82 B,,,,,,,,,,$120.66,,companiesMarketCap_dataset
Meta Platforms (facebook),"['Tech', 'Internet']",,,USA,,,,,$327.43 B,,,,,,,,,,$123.49,,companiesMarketCap_dataset
Samsung,"['Tech', 'Electronics', 'Tech Hardware', 'Manufacturing', 'Semiconductors']",,,South Korea,,,,,$312.57 B,,,,,,,,,,$46.54,,companiesMarketCap_dataset
Home Depot,"['Retail', 'Dow jones']",,,USA,,,,,$334.28 B,,,,,,,,,,$327.99,,companiesMarketCap_dataset
Chevron,"['Oil&Gas', 'Dow jones', 'Energy']",,,USA,,,,,$350.04 B,,,,,,,,,,$181.03,,companiesMarketCap_dataset
Mastercard,['Financial services'],,,USA,,,,,$346.18 B,,,,,,,,,,$360.06,,companiesMarketCap_dataset
Procter & Gamble,"['Dow jones', 'Consumer goods']",,,USA,,,,,$356.90 B,,,,,,,,,,$150.61,,companiesMarketCap_dataset
Eli Lilly,"['Pharmaceuticals', 'Biotech']",,,USA,,,,,$356.08 B,,,,,,,,,,$374.76,,companiesMarketCap_dataset
Tencent,"['Tech', 'Internet', 'Video games', 'Esports']",,,China,,,,,$378.34 B,,,,,,,,,,$39.29,,companiesMarketCap_dataset
Lvmh,"['Luxury goods', 'CAC 40', 'Clothing']",,,France,,,,,$376.99 B,,,,,,,,,,$753.26,,companiesMarketCap_dataset
Walmart,"['Retail', 'Dow jones', 'Supermarket Chains']",,,USA,,,,,$415.87 B,,,,,,,,,,$153.22,,companiesMarketCap_dataset
Jpmorgan Chase,"['Banks', 'Financial services', 'Dow jones']",,,USA,,,,,$396.45 B,,,,,,,,,,$135.16,,companiesMarketCap_dataset
Nvidia,"['Tech', 'Semiconductors', 'Electronics', 'Tech Hardware', 'Autonomous driving']",,,USA,,,,,$420.54 B,,,,,,,,,,$168.76,,companiesMarketCap_dataset
