company_name,industry,sector,year_founded,ownership,headquarters_city,headquarters_country,headquarters_full_address,company_website,total_revenue_usd,net_profit_usd,total_assets_usd,employee_count,market_cap_usd,social_media_links,total_raised,company_type,ceo_name,representative_name,_source_table
Great Deals E-Commerce Corp.,Ecommerce,,2017,,[],['Philippines'],,,88.77,,,385,,,,,,,ft-com
PCL Inc.,Pharmaceuticals,,2008,,[],['South Korea'],,,45.48,,,63,,,,,,,ft-com
Spolive,Games industry,,2013,,[],['South Korea'],,,9.49,,,47,,,,,,,ft-com
Workmate,Support Services,,2015,,[],['Singapore'],,,12.44,,,82,,,,,,,ft-com
TaiMed Biologics,Pharmaceuticals,,2007,,[],['Taiwan'],,,24.42,,,78,,,,,,,ft-com
SCI Ecommerce,Ecommerce,,2014,,[],['Singapore'],,,108.46,,,164,,,,,,,ft-com
I-CY CHAYA ,Food & Beverage,,2012,,[],['Thailand'],,,44.04,,,7,,,,,,,ft-com
Grow Finance,Fintech,,2016,,[],['Australia'],,,15.02,,,52,,,,,,,ft-com
SAMBHV Steel,Industrial Goods,,2017,,[],['India'],,,64.65,,,355,,,,,,,ft-com
INTELUCK,Technology,,2014,,[],['Philippines'],,,7.06,,,108,,,,,,,ft-com
Carro,Technology,,2015,,[],['Singapore'],,,86.35,,,400,,,,,,,ft-com
GOPIZZA,Food & Beverage,,2017,,[],['South Korea'],,,6.17,,,101,,,,,,,ft-com
Scaler by InterviewBit,Education,,2016,,[],['India'],,,31.04,,,594,,,,,,,ft-com
Pixie Dust Technologies,Technology,,2017,,[],['Japan'],,,4.56,,,61,,,,,,,ft-com
Kioson,Ecommerce,,2015,,[],['Indonesia'],,,204.99,,,54,,,,,,,ft-com
SCI Ecommerce,Ecommerce,,2014,,[],['Singapore'],,,46.08,,,92,,,,,,,ft-com
Electric Kiwi,Energy,,2014,,[],['New Zealand'],,,35.63,,,22,,,,,,,ft-com
Swappie,Technology,,2016,,[],['Finland'],,,"97,611,814",,,218,,,,,,,ft-com
Haulio,Transport,,2016,,[],['Singapore'],,,5.62,,,21,,,,,,,ft-com
Digio,Technology,,2016,,[],['India'],,,6.75,,,13,,,,,,,ft-com
Skillmatics,Ecommerce,,2016,,[],['India'],,,7.42,,,60,,,,,,,ft-com
Struggle,Sales & Marketing,,2015,,[],['Japan'],,,24.81,,,40,,,,,,,ft-com
TheMathCompany,Technology,,2016,,[],['India'],,,7.56,,,285,,,,,,,ft-com
Kilo Health,Health,,2013,,[],['Lithuania'],,,"57,318,766",,,177,,,,,,,ft-com
OCI,Financial Services,,2012,,[],['UK'],,,"568,322,073",,,32,,,,,,,ft-com
ROINET Solution,Fintech,,2012,,[],['India'],,,23.52,,,202,,,,,,,ft-com
Glints Intern,Support Services,,2013,,[],['Singapore'],,,9.78,,,318,,,,,,,ft-com
Reqrea,Property,,2016,,[],['Japan'],,,3.36,,,34,,,,,,,ft-com
ROINET Solution,Financial Services,,2014,,[],['India'],,,17.91,,,182,,,,,,,ft-com
Global Vision Multimedia,Technology,,2016,,[],['Japan'],,,7.18,,,28,,,,,,,ft-com
OnlyFans,Technology,,2016,,[],['UK'],,,"316,732,986",,,800,,,,,,,ft-com
Bulb Energy,Energy,,2015,,[],['UK'],,,"1,737,586,657",,,575,,,,,,,ft-com
Amberstudent,Property,,2015,,[],['India'],,,3.64,,,120,,,,,,,ft-com
Tangerine Telecom,Telecoms,,2014,,[],['Australia'],,,35.24,,,100,,,,,,,ft-com
Omkara,Financial Services,,2014,,[],['India'],,,10.71,,,39,,,,,,,ft-com
Roadbull Logistics,Technology,,2015,,[],['Singapore'],,,6.76,,,135,,,,,,,ft-com
AI inside,Technology,,2015,,[],['Japan'],,,14.63,,,67,,,,,,,ft-com
SGS Logistics,Transport,,2015,,[],['Australia'],,,8.38,,,7,,,,,,,ft-com
Enpal,Energy,,2017,,[],['Germany'],,,"56,109,613",,,365,,,,,,,ft-com
Sun Finance,Fintech,,2012,,[],['Latvia'],,,"101,475,796",,,750,,,,,,,ft-com
MarketKurly,Ecommerce,,2015,,[],['South Korea'],,,807.49,,,"1,046",,,,,,,ft-com
Zigma Global,Waste management & recycling,,2015,,[],['India'],,,21.69,,,"1,096",,,,,,,ft-com
GreedyGame,Technology,,2013,,[],['India'],,,9.45,,,60,,,,,,,ft-com
eCloudvalley,Technology,,2013,,[],['Taiwan'],,,209.25,,,229,,,,,,,ft-com
Wakefit,Retail,,2016,,[],['India'],,,28.21,,,600,,,,,,,ft-com
MR Consulting,Waste management & recycling,,2017,,[],['Germany'],,,"13,165,586",,,9,,,,,,,ft-com
Everflow Group,Energy,,2015,,[],['UK'],,,"55,902,990",,,46,,,,,,,ft-com
Sankey Solutions,Technology,,2017,,[],['India'],,,2.61,,,186,,,,,,,ft-com
Carro,Technology,,2015,,[],['Singapore'],,,215.01,,,974,,,,,,,ft-com
360F,Fintech,,2016,,[],['Singapore'],,,3.63,,,30,,,,,,,ft-com
Ninja Van Logistics,Transport,,2014,,[],['Singapore'],,,249.53,,,25655,,,,,,,ft-com
Spolive,Games industry,,2013,,[],['South Korea'],,,12.01,,,42,,,,,,,ft-com
Carsome,Automobiles,,2014,,[],['Malaysia'],,,203.94,,,672,,,,,,,ft-com
Thriva,Health,,2015,,[],['UK'],,,"18,732,563",,,57,,,,,,,ft-com
Glencar Construction,Construction,,2015,,[],['UK'],,,"110,298,923",,,85,,,,,,,ft-com
BR Metals,Waste management & recycling,,2009,,[],['Singapore'],,,143.12,,,26,,,,,,,ft-com
