company_name,industry,headquarters_address,headquarters_city,headquarters_country,year_founded,ownership,company_number,employee_count,market_cap_usd,total_revenue_usd,net_profit_usd,total_assets_usd,company_website,social_media_links,representative_name,total_raised,company_description,company_stage,share_price,legal_form,_source_table
Enel Spa,"Finance, Insurance, and Real Estate",VIALE REGINA MARGHERITA 137,ROMA,ITALY,1962,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Esselunga Spa,Retail Trade,VIA GIAMBOLOGNA 1,MILANO,ITALY,1957,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Superit Srl,"Finance, Insurance, and Real Estate",VIA VITTOR PISANI 20,MILANO,ITALY,2019,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Saras Spa,Manufacturing,GALLERIA PASSARELLA 2,MILANO,ITALY,1962,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Unicredit Spa,"Finance, Insurance, and Real Estate",PIAZZA GAE AULENTI 3 TOWER A,MILANO,ITALY,1870,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Send To Me Srl,Services,VIALE UNGHERIA 46,MILANO,ITALY,2020,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Intesa Sanpaolo Vita Spa,"Finance, Insurance, and Real Estate",CORSO INGHILTERRA 3,TORINO,ITALY,1980,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Unipolsai Assicurazioni Spa,"Finance, Insurance, and Real Estate",VIA STALINGRADO 45,BOLOGNA,ITALY,1921,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Totalenergies Petrochemicals & Refining Sa Nv,Wholesale Trade,VIA ROMBON 11,MILANO,ITALY,2004,Foreign Company,,,,,,,,,,,,,,,hitHorizons_dataset
Sanastera Spa,"Finance, Insurance, and Real Estate",PIAZZA MINGHETTI 4/D,BOLOGNA,ITALY,2007,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Hera Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIALE CARLO BERTI PICHAT 2/4,BOLOGNA,ITALY,1925,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Esso Italiana Srl,Wholesale Trade,VIALE CASSALA 57,MILANO,ITALY,1891,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Poste Italiane Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIALE EUROPA 190,ROMA,ITALY,1861,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
A2a Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",CORSO DI PORTA VITTORIA 4,MILANO,ITALY,1996,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Arrow Electronics Emeasa Srl,"Finance, Insurance, and Real Estate",VIALE DELL'INNOVAZIONE 3,MILANO,ITALY,2002,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Edison Spa,"Finance, Insurance, and Real Estate",FORO BUONAPARTE 31,MILANO,ITALY,1994,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Ferrovie Dello Stato Italiane Spa,"Finance, Insurance, and Real Estate",PIAZZA DELLA CROCE ROSSA 1,ROMA,ITALY,1992,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Prysmian Spa,Wholesale Trade,VIA CHIESE 6,MILANO,ITALY,2005,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Leonardo Spa,Manufacturing,PIAZZA MONTE GRAPPA 4,ROMA,ITALY,1897,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Generali Italia Spa,"Finance, Insurance, and Real Estate",VIA MAROCCHESA 14,TREVISO,ITALY,1927,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Enel Energia Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIA SAN GIOVANNI SUL MURO 9,MILANO,ITALY,1962,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Intesa Sanpaolo Spa,"Finance, Insurance, and Real Estate",VIA MONTE DI PIETA' 8,MILANO,ITALY,1925,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Telecom Italia Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIA GAETANO NEGRI 1,MILANO,ITALY,1908,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Poste Vita Spa,"Finance, Insurance, and Real Estate",VIALE EUROPA 190,ROMA,ITALY,1996,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Fca Italy S.p.a. In Forma Fiat Chrysler Automobiles E In Forma Abbreviato Fiat Group Autom,Manufacturing,CORSO GIOVANNI AGNELLI 200,TORINO,ITALY,1978,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Enel Italia Spa,"Finance, Insurance, and Real Estate",VIALE REGINA MARGHERITA 125,ROMA,ITALY,2001,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Gestore Dei Mercati Energetici Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIALE MARESCIALLO PILSUDSKI 122/124,ROMA,ITALY,2000,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Amazon Eu S.a Rl,Retail Trade,VIALE MONTE GRAPPA 3/5,MILANO,ITALY,2011,Foreign Company,,,,,,,,,,,,,,,hitHorizons_dataset
Gestore Dei Servizi Energetici - Gse Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIALE MARESCIALLO PILSUDSKI 92,ROMA,ITALY,1999,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Eni Spa,Manufacturing,PIAZZALE ENRICO MATTEI 1,ROMA,ITALY,1953,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Iveco Spa,Manufacturing,VIA PUGLIA 35,TORINO,ITALY,1974,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Lidl Italia Srl,Wholesale Trade,VIA AUGUSTO RUFFO 36,VERONA,ITALY,1991,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Webuild Spa,Construction,CENTRO DIREZIONALE MILANOFIORI SNC,MILANO,ITALY,1959,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Atlantia Spa,"Finance, Insurance, and Real Estate",PIAZZA DI SAN SILVESTRO 8,ROMA,ITALY,1950,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Salini Costruttori Spa,Construction,VIA DEL LAURO 3,MILANO,ITALY,1972,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Amazon Web Services Emea Sarl,Services,VIALE MONTE GRAPPA 3/5,MILANO,ITALY,2017,Foreign Company,,,,,,,,,,,,,,,hitHorizons_dataset
Allianz Spa,"Finance, Insurance, and Real Estate",PIAZZA TRE TORRI 3,MILANO,ITALY,1911,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Mediolanum Vita Spa,"Finance, Insurance, and Real Estate",VIA FRANCESCO SFORZA,MILANO,ITALY,1972,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Engie Italia Spa,Services,VIALE FULVIO TESTI 280,MILANO,ITALY,2000,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Enel Global Trading Spa,Wholesale Trade,VIALE REGINA MARGHERITA 125,ROMA,ITALY,1999,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Hera Trading Srl,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIA MOLINO ROSSO 8,BOLOGNA,ITALY,2001,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Alleanza Assicurazioni Spa,"Finance, Insurance, and Real Estate",PIAZZA FIDIA 1,MILANO,ITALY,2009,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Marco Polo International Italy Srl,"Finance, Insurance, and Real Estate",VIA SAN PRIMO 4,MILANO,ITALY,2018,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Fincantieri Spa,Manufacturing,VIA GENOVA 1,TRIESTE,ITALY,1959,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Eurospin Italia Spa,"Finance, Insurance, and Real Estate",VIA CAMPALTO 3/D,VERONA,ITALY,1994,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
E-distribuzione Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIA CARLO FELICE 35,SASSARI,ITALY,1999,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Saipem Spa,Construction,VIA MARTIRI DI CEFALONIA 67,MILANO,ITALY,1969,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Enel Produzione Spa,"Transportation, Communications, Electric, Gas, and Sanitary Services",VIALE REGINA MARGHERITA 125,ROMA,ITALY,1962,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Guccio Gucci Spa,Manufacturing,VIA DON LORENZO PEROSI 6,FIRENZE,ITALY,1939,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
Pirelli & C. Spa,"Finance, Insurance, and Real Estate",VIALE PIERO E ALBERTO PIRELLI 25,MILANO,ITALY,1883,Corporation,,,,,,,,,,,,,,,hitHorizons_dataset
