company_name,year_founded,company_age,industry,sector,business_category,headquarters_city,ownership,_source_table
Apple,,[],,,"[""['Technology'"", ""'Mobiles & Accessories'"", ""'Electronics'"", ""'Consumer Electronics'"", ""'Computers Hardware'"", ""'Software and IT'"", ""'Music'"", ""'Tablets'"", ""'Technology Hardware and Instruments'"", ""'Retail'"", ""'Artificial Intelligence'"", ""'Laptops'"", ""'Software Products']""]",['California'],,valueToday_dataset
Taiwan Semiconductor Manufacturing Company (tsmc),,[],,,"[""['Technology'"", ""'Semiconductors'"", ""'Electronics'"", ""'Technology Hardware and Instruments'"", ""'Processors / Chips']""]",['Hsinchu'],,valueToday_dataset
Nvidia Corporation,,[],,,"[""['Technology'"", ""'Semiconductors'"", ""'Electronics'"", ""'Technology Hardware and Instruments'"", ""'Computers Hardware'"", ""'Video Games / Mobile Games / Tech Games / Casino Games'"", ""'Artificial Intelligence']""]",['California'],,valueToday_dataset
Berkshire Hathaway,,[],,,"[""['Financial Services'"", ""'Investments'"", ""'Insurance']""]",['Nebraska'],,valueToday_dataset
Meta Platforms,,[],,,"[""['Communication Services'"", ""'Internet or Mobile App Based Business'"", ""'Social Media'"", ""'Artificial Intelligence'"", ""'Internet of Things'"", ""'Advertising'"", ""'Technology'"", ""'Media'"", ""'Software and IT'"", ""'Software Products']""]",['California'],,valueToday_dataset
Tesla,,[],,,"[""['Electric Vehicles'"", ""'Cars'"", ""'Automobile'"", ""'Solar Power Devices'"", ""'Capital Goods'"", ""'Power Equipment'"", ""'Technology'"", ""'Passenger Vehicles'"", ""'Batteries'"", ""'Electric Vehicle Charging Station']""]",['California'],,valueToday_dataset
Amazon.com,,[],,,"[""['eCommerce'"", ""'Internet or Mobile App Based Business'"", ""'Cloud Services'"", ""'Software and IT'"", ""'Artificial Intelligence'"", ""'Technology'"", ""'Consulting Services'"", ""'Consumer Services'"", ""'Software Products'"", ""'Retail']""]",['Washington'],,valueToday_dataset
Alphabet,,[],,,"[""['Technology'"", ""'Internet or Mobile App Based Business'"", ""'Software and IT'"", ""'Software Products'"", ""'Cloud Services'"", ""'Artificial Intelligence'"", ""'Internet of Things'"", ""'Gaming'"", ""'Video Games / Mobile Games / Tech Games / Casino Games'"", ""'Advertising'"", ""'Media']""]",['California'],,valueToday_dataset
Saudi Arabian Oil Company (saudi Aramco),,[],,,"[""['Energy'"", ""'Oil and Gas'"", ""'Chemicals'"", ""'Oil Refining'"", ""'Oil and Gas Pipeline Transport'"", ""'Integrated Oil and Gas Companies']""]",['Dhahran'],,valueToday_dataset
Microsoft Corporation,,[],,,"[""['Technology'"", ""'Software and IT'"", ""'Laptops'"", ""'Video Games / Mobile Games / Tech Games / Casino Games'"", ""'Gaming'"", ""'Internet or Mobile App Based Business'"", ""'Computers Hardware'"", ""'Tablets'"", ""'Cloud Services'"", ""'Artificial Intelligence'"", ""'Internet of Things'"", ""'Media'"", ""'Electronics'"", ""'Consumer Electronics'"", ""'Advertising']""]",['Washington'],,valueToday_dataset
Walmart,,[],,,"[""['Retail'"", ""'Super Markets'"", ""'eCommerce'"", ""'Hypermarkets'"", ""'Consumer Services']""]",['Arkansas'],,valueToday_dataset
Bank Of America Corporation,,[],,,"[""['Financial Services'"", ""'Banking Services'"", ""'Investment Banking'"", ""'Insurance'"", ""'Credit Cards'"", ""'Wealth Management'"", ""'Asset Management'"", ""'Mortgage']""]",['North Carolina'],,valueToday_dataset
Lvmh,,[],,,"[""['Fashion and Luxury Goods'"", ""'Non-Alcoholic Beverages'"", ""'Clothing'"", ""'Jewellery'"", ""'Watches'"", ""'FMCG'"", ""'Luxury Goods'"", ""'Consumer Goods'"", ""'Beverages']""]",['Paris'],,valueToday_dataset
Home Depot,,[],,,"[""['Retail'"", ""'eCommerce'"", ""'Construction Materials'"", ""'Consumer Services']""]",['Georgia'],,valueToday_dataset
Unitedhealth Group,,[],,,"[""['Healthcare'"", ""'Healthcare Service'"", ""'Insurance'"", ""'HealthCare Products']""]",['Minnesota'],,valueToday_dataset
Samsung Electronics,,[],,,"[""['Technology'"", ""'Electronics'"", ""'Semiconductors'"", ""'Mobiles & Accessories'"", ""'Cameras & Accessories'"", ""'Tablets'"", ""'Home Appliances'"", ""'Refrigerators'"", ""'Air Conditioners'"", ""'Washing Machines'"", '""TV\'s""', ""'Consumer Electronics']""]",[],,valueToday_dataset
Johnson & Johnson,,[],,,"[""['Healthcare'"", ""'Medical Equipment'"", ""'Pharmaceutical'"", ""'FMCG'"", ""'Biotechnology'"", ""'Technology'"", ""'HealthCare Products']""]",['New Jersey'],,valueToday_dataset
Visa,,[],,,"[""['Financial Services'"", ""'Technology'"", ""'Software and IT'"", ""'Credit Cards'"", ""'Digital Payment Solution Services'"", ""'Business Services'"", ""'Software Products'"", ""'Artificial Intelligence']""]",['California'],,valueToday_dataset
J P Morgan Chase & Co,,[],,,"[""['Financial Services'"", ""'Banking Services'"", ""'Credit Cards'"", ""'Asset Management']""]",['New York'],,valueToday_dataset
Tencent,,[],,,"[""['Communication Services'"", ""'Investments'"", ""'Internet or Mobile App Based Business'"", ""'Advertising'"", ""'Media'"", ""'Gaming'"", ""'Video Games / Mobile Games / Tech Games / Casino Games'"", ""'Artificial Intelligence'"", ""'Software and IT'"", ""'Software Products'"", ""'Technology']""]",['Shenzhen'],,valueToday_dataset
Procter & Gamble Company,,[],,,"[""['Consumer Defensive'"", ""'FMCG'"", ""'Consumer Non Durables'"", ""'Beauty and Personal Care'"", ""'Personal Care Products'"", ""'HealthCare Products']""]",['Ohio'],,valueToday_dataset
The Walt Disney Company,,[],,,"[""['Communication Services'"", ""'Broadcasting'"", ""'Television Services'"", ""'Media'"", ""'Advertising'"", ""'Consumer Services'"", '""TV\'s""', ""'Entertainment']""]",['California'],,valueToday_dataset
Exxon Mobil Corporation,,[],,,"[""['Energy'"", ""'Oil and Gas'"", ""'Petrochemicals'"", ""'Natural Gas Generation'"", ""'Electricity Generation'"", ""'Chemicals'"", ""'Plastics / Plastic Products']""]",['Texas'],,valueToday_dataset
Asml Holding,,[],,,"[""['Technology'"", ""'Semiconductors'"", ""'Electronics'"", ""'Technology Hardware and Instruments']""]",['Veldhoven'],,valueToday_dataset
Pfizer,,[],,,"[""['Healthcare'"", ""'Pharmaceutical'"", ""'HealthCare Products'"", ""'Biotechnology'"", ""'Technology']""]",['New York'],,valueToday_dataset
Alibaba Group Holding,,[],,,"[""['eCommerce'"", ""'Internet or Mobile App Based Business'"", ""'Technology'"", ""'Software and IT'"", ""'Business Services'"", ""'Software Products'"", ""'Retail'"", ""'B2B Services']""]",['Hangzhou'],,valueToday_dataset
Roche Holding Ag,,[],,,"[""['Healthcare'"", ""'Pharmaceutical'"", ""'Medical Equipment'"", ""'Biotechnology'"", ""'Healthcare Service'"", ""'Technology'"", ""'HealthCare Products']""]",['Basel'],,valueToday_dataset
Mastercard,,[],,,"[""['Digital Payment Solution Services'"", ""'Financial Services'"", ""'Credit Cards'"", ""'Technology'"", ""'Business Services'"", ""'Artificial Intelligence']""]",['New York'],,valueToday_dataset
