company_name,industry,sector,year_founded,ownership,headquarters_city,headquarters_country,headquarters_full_address,company_website,total_revenue_usd,net_profit_usd,total_assets_usd,employee_count,market_cap_usd,social_media_links,total_raised,company_type,ceo_name,representative_name,_source_table
10DspaceOÃœ(14318875),,,25.08.2017,,[],[],,https://ariregister.rik.ee/eng/company/14318875/10Dspace-OÃœ?search_id=6b4eef4&pos=1,,,,,,,,Private limited company,,,wissel-ariregister
21SparrowsOÃœ(16270291),Other activities auxiliary to financial services that are not classified elsewhere,,14.07.2021,,[],[],Harju maakond Tallinn Kesklinna linnaosa Toom-Kuninga tn 15-77 10122   ,https://ariregister.rik.ee/eng/company/16270291/21-Sparrows-OÃœ?search_id=6b4eef4&pos=2,,,,,,,,Private limited company,,Janis Jegi,wissel-ariregister
3DSTOÃœ(12454634),Specialised design activities,,15.04.2013,,[],[],Harju maakond Tallinn Kesklinna linnaosa Pikk tn 67-3 10133   ,https://ariregister.rik.ee/eng/company/12454634/3DST-OÃœ?search_id=6b4eef4&pos=3,,,,,,,,Private limited company,,Siim Tiigim\xc3\xa4gi,wissel-ariregister
8BitsSpaceOÃœ(14867109),Computer programming activities,,11.12.2019,,[],[],Harju maakond Tallinn LasnamÃ¤e linnaosa Sepapaja tn 6 15551   ,https://ariregister.rik.ee/eng/company/14867109/8-Bits-Space-OÃœ?search_id=6b4eef4&pos=4,,,,,,,,Private limited company,,Dominik Gronkiewicz,wissel-ariregister
A1EhituspartnerOÃœ(16451101),Construction of residential and non-residential buildings,,28.02.2022,,[],[],PÃµlva maakond PÃµlva vald Adiste kÃ¼la Naima 63204   ,https://ariregister.rik.ee/eng/company/16451101/A1-Ehituspartner-OÃœ?search_id=6b4eef4&pos=5,,,,,,,,Private limited company,,Rainis Luik,wissel-ariregister
osaÃ¼hingAarspak(10166769),"Renting and operational leasing of other machinery, equipment and tangible assets not classified elsewhere",,28.11.1996,,[],[],Harju maakond Viimsi vald Lubja kÃ¼la Ampri tee 7 74010   ,https://ariregister.rik.ee/eng/company/10166769/osaÃ¼hing-Aarspak?search_id=6b4eef4&pos=6,,,,,,,,Private limited company,,Kaido Kaabel,wissel-ariregister
AarspakTootmineOÃœ(11959421),Manufacture of plastic packing goods \xc2\xa0,,22.06.2010,,[],[],Harju maakond Viimsi vald Lubja kÃ¼la Ampri tee 7 74010   ,https://ariregister.rik.ee/eng/company/11959421/Aarspak-Tootmine-OÃœ?search_id=6b4eef4&pos=7,,,,,,,,Private limited company,,Marek Kaabel,wissel-ariregister
A&ASpamarketOÃœ(11945353),"Other retail sale not in stores, stalls or markets",,25.05.2010,,[],[],,https://ariregister.rik.ee/eng/company/11945353/AA-Spamarket-OÃœ?search_id=6b4eef4&pos=8,,,,,,,,Private limited company,,,wissel-ariregister
OÃœABCOnlineSolution(16008334),"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",,13.07.2020,,[],[],Harju maakond Tallinn Kesklinna linnaosa Raua tn 51-2 10120   ,https://ariregister.rik.ee/eng/company/16008334/OÃœ-ABC-Online-Solution?search_id=6b4eef4&pos=9,,,,,,,,Private limited company,,Joosep Tinn,wissel-ariregister
OÃœABCRakennuspalvelut(11739760),,,20.10.2009,,[],[],,https://ariregister.rik.ee/eng/company/11739760/OÃœ-ABC-Rakennuspalvelut?search_id=6b4eef4&pos=10,,,,,,,,Private limited company,,,wissel-ariregister
AbovespaceOÃœ(16322007),Business and other management consultancy activities,,21.09.2021,,[],[],Harju maakond Tallinn Kesklinna linnaosa Estonia pst 5 10143   ,https://ariregister.rik.ee/eng/company/16322007/Abovespace-OÃœ?search_id=6b4eef4&pos=11,,,,,,,,Private limited company,,German Randla,wissel-ariregister
AbrukaSPAOÃœ(16042743),Holiday home (chalets),,02.09.2020,,[],[],Saare maakond Saaremaa vald Abruka kÃ¼la PÃ¤hkla 93826   ,https://ariregister.rik.ee/eng/company/16042743/Abruka-SPA-OÃœ?search_id=6b4eef4&pos=12,,,,,,,,Private limited company,,Sven Mansberg,wissel-ariregister
ABuildingGroupOÃœ(14166276),,,09.12.2016,,[],[],,https://ariregister.rik.ee/eng/company/14166276/A-Building-Group-OÃœ?search_id=6b4eef4&pos=13,,,,,,,,Private limited company,,,wissel-ariregister
