company_name,industry,sector,year_founded,ownership,headquarters_city,headquarters_country,headquarters_full_address,company_website,total_revenue_usd,net_profit_usd,total_assets_usd,employee_count,market_cap_usd,social_media_links,total_raised,company_type,ceo_name,representative_name,_source_table
"CNHI, LLC",,,,,['MONTGOMERY'],['UNITED STATES'],445 DEXTER AVE,https://www.info-clipper.com/en/company/united-states/cnhi-llc.usdg0my8a.html,,,,,,,,,,,wissel-aziende-info-clipper-com
CRAIG & ROSE LIMITED,,,,,['LONDON'],['UNITED KINGDOM'],7th Floor Suite 1 50 Broadway,https://www.info-clipper.com/en/company/united-kingdom/craig-rose-limited.gbd3nvwwq.html,,,,,,,,,,,wissel-aziende-info-clipper-com
SEGRETARIATO GENERALE DELLA PRESIDENZA DELLA REPUBBLICA,,,,,['ROMA'],['ITALY'],VIA DELLA DATARIA 96,https://www.info-clipper.com/en/company/italy/segretariato-generale-della-presidenza-della-repubblica.itdau24gz.html,,,,,,,,,,,wissel-aziende-info-clipper-com
BIH REAL ESTATE OU,,,,,['Tallinn'],['ESTONIA'],Narva mnt 6-44,https://www.info-clipper.com/en/company/estonia/bih-real-estate-ou.eed8vckdq.html,,,,,,,,,,,wissel-aziende-info-clipper-com
"DEVELOPMENTAL SERVICES, CALIFORNIA DEPARTMENT OF",,,,,['SACRAMENTO'],['UNITED STATES'],1215 O ST,https://www.info-clipper.com/en/company/united-states/developmental-services-california-department-of.usd97cr8n.html,,,,,,,,,,,wissel-aziende-info-clipper-com
QIOPTIQ PHOTONICS LIMITED,,,,,['SOUTHAMPTON'],['UNITED KINGDOM'],"Mitchell Point Ensign Way, Hamble",https://www.info-clipper.com/en/company/united-kingdom/qioptiq-photonics-limited.gbd5rolmu.html,,,,,,,,,,,wissel-aziende-info-clipper-com
CRISTINA SRL,,,,,['GOZZANO'],['ITALY'],VIA FAVA 56,https://www.info-clipper.com/en/company/italy/cristina-srl.itd73jx12.html,,,,,,,,,,,wissel-aziende-info-clipper-com
RECTICEL OU,,,,,['Tallinn'],['ESTONIA'],Peterburi tee 48a,https://www.info-clipper.com/en/company/estonia/recticel-ou.eed8uixf6.html,,,,,,,,,,,wissel-aziende-info-clipper-com
"LAIRD TECHNOLOGIES, INC.",,,,,['CHESTERFIELD'],['UNITED STATES'],16401 SWINGLEY RIDGE RD STE 700,https://www.info-clipper.com/en/company/united-states/laird-technologies-inc.usd1abyt.html,,,,,,,,,,,wissel-aziende-info-clipper-com
DESIGNERS GUILD LIMITED,,,,,['LONDON'],['UNITED KINGDOM'],3 Latimer Place,https://www.info-clipper.com/en/company/united-kingdom/designers-guild-limited.gbd3hxgcj.html,,,,,,,,,,,wissel-aziende-info-clipper-com
BANCA PICCOLO CREDITO VALTELLINESE SPA,,,,,['SONDRIO'],['ITALY'],PIAZZA QUADRIVIO 8,https://www.info-clipper.com/en/company/italy/banca-piccolo-credito-valtellinese-spa.itd74pwaf.html,,,,,,,,,,,wissel-aziende-info-clipper-com
SEB PANK AS,,,,,['Tallinn'],['ESTONIA'],2 Tornimae tn 2,https://www.info-clipper.com/en/company/estonia/seb-pank-as.eedao2lxh.html,,,,,,,,,,,wissel-aziende-info-clipper-com
"UNIVERSAL MUSIC GROUP DISTRIBUTION, CORP.",,,,,['SANTA MONICA'],['UNITED STATES'],2220 COLORADO AVE,https://www.info-clipper.com/en/company/united-states/universal-music-group-distribution-corp.usd7or0w.html,,,,,,,,,,,wissel-aziende-info-clipper-com
NATIONAL GRID GRAIN LNG LIMITED,,,,,['ROCHESTER'],['UNITED KINGDOM'],Isle Of Grain Road Isle Of Grain,https://www.info-clipper.com/en/company/united-kingdom/national-grid-grain-lng-limited.gbd70w3cc.html,,,,,,,,,,,wissel-aziende-info-clipper-com
IVECO GROUP N.V.,,,,,['TORINO'],['ITALY'],VIA PUGLIA 35,https://www.info-clipper.com/en/company/italy/iveco-group-nv.itd7b13qv.html,,,,,,,,,,,wissel-aziende-info-clipper-com
TBB PANK AS,,,,,['Tallinn'],['ESTONIA'],Vana-Viru tn 7,https://www.info-clipper.com/en/company/estonia/tbb-pank-as.eed94zzu3.html,,,,,,,,,,,wissel-aziende-info-clipper-com
"UNIVERSAL MUSIC GROUP, INC.",,,,,['SANTA MONICA'],['UNITED STATES'],2220 COLORADO AVE,https://www.info-clipper.com/en/company/united-states/universal-music-group-inc.usdbnbiz.html,,,,,,,,,,,wissel-aziende-info-clipper-com
LACTALIS MCLELLAND LIMITED,,,,,['REDHILL'],['UNITED KINGDOM'],RED CENTRAL 60 HIGH STREET,https://www.info-clipper.com/en/company/united-kingdom/lactalis-mclelland-limited.gbd3jofn3.html,,,,,,,,,,,wissel-aziende-info-clipper-com
DALMATA SPA,,,,,['COLLECCHIO'],['ITALY'],VIA DELLE NAZIONI UNITE 4,https://www.info-clipper.com/en/company/italy/dalmata-spa.itd77hhiw.html,,,,,,,,,,,wissel-aziende-info-clipper-com
SIMPES GRUPP OU,,,,,"['Assaku alevik', 'Rae vald']",['ESTONIA'],Veski poik 3,https://www.info-clipper.com/en/company/estonia/simpes-grupp-ou.eed98p600.html,,,,,,,,,,,wissel-aziende-info-clipper-com
"UNIVERSAL MUSIC INVESTMENTS, INC.",,,,,['SANTA MONICA'],['UNITED STATES'],2220 COLORADO AVE,https://www.info-clipper.com/en/company/united-states/universal-music-investments-inc.usd1bakpn.html,,,,,,,,,,,wissel-aziende-info-clipper-com
LACTALIS (UK) LIMITED,,,,,['REDHILL'],['UNITED KINGDOM'],Redcentral 60 High Street,https://www.info-clipper.com/en/company/united-kingdom/lactalis-limited.gbd3r6yv9.html,,,,,,,,,,,wissel-aziende-info-clipper-com
INTESA SANPAOLO ASSICURA SPA,,,,,['TORINO'],['ITALY'],CORSO INGHILTERRA 3,https://www.info-clipper.com/en/company/italy/intesa-sanpaolo-assicura-spa.itd7lgovc.html,,,,,,,,,,,wissel-aziende-info-clipper-com
SWEDBANK SUPPORT OU,,,,,['Tallinn'],['ESTONIA'],Liivalaia tn 8,https://www.info-clipper.com/en/company/estonia/swedbank-support-ou.eedao0q2z.html,,,,,,,,,,,wissel-aziende-info-clipper-com
"INTERNATIONAL SOURCING COMPANY, INC.",,,,,['MEMPHIS'],['UNITED STATES'],4025 VISCOUNT AVE,https://www.info-clipper.com/en/company/united-states/international-sourcing-company-inc.usdefrt4i.html,,,,,,,,,,,wissel-aziende-info-clipper-com
RONLY LIMITED,,,,,['LONDON'],['UNITED KINGDOM'],201 Haverstock Hill,https://www.info-clipper.com/en/company/united-kingdom/ronly-limited.gbde5qo3b.html,,,,,,,,,,,wissel-aziende-info-clipper-com
CIRO PAONE SPA,,,,,['ARZANO'],['ITALY'],VIALE DELLE INDUSTRIE SNC,https://www.info-clipper.com/en/company/italy/ciro-paone-spa.itd78oejy.html,,,,,,,,,,,wissel-aziende-info-clipper-com
ASTEL GARDEN GROUP OU,,,,,"['Assaku alevik', 'Rae vald']",['ESTONIA'],Veski poik 3,https://www.info-clipper.com/en/company/estonia/astel-garden-group-ou.eedbcyj27.html,,,,,,,,,,,wissel-aziende-info-clipper-com
