company_name_left,industry_left,headquarters_city_left,company_name_right,industry_right,headquarters_city_right,label
indian air force,defence & aerospace,,indian army,defence & aerospace,,0
godrej consumer products,fmcg,,godrej group,fmcg,,0
glaxosmithkline consumer healthcare,pharma,,glaxosmithkline pharmaceuticals,pharma,,0
renault,automobile,,renault nissan technology & business centre india,automobile,,0
larsen & toubro group,engineering & construction,,larsen & toubro limited,engineering & construction,,0
continental,auto components,,continental automotive components,auto components,,0
prism cement,building material,,prism johnson,building material,,0
essar group,engineering & construction,,essar projects india,engineering & construction,,0
fortis escorts hospital,healthcare,,fortis hospitals,healthcare / pharma,,0
glenmark life sciences,pharma,,glenmark pharmaceuticals,pharma,,0
dr. agarwal's eye hospital,healthcare,,dr. batras' positive health clinic,healthcare,,0
sun pharma laboratories,pharma,,sun pharmaceutical industries,pharma,,0
vedanta limited,metals & mining,,vedanta resources,metals & mining,,0
munjal auto industries,auto components,,munjal showa,auto components,,0
alembic,pharma,,alembic pharmaceuticals,pharma,,0
infostretch,it services & consulting,,infosys,it services & consulting,,0
sundaram auto components,auto components,,sundaram clayton,auto components,,0
delphi automotive systems,auto components,,delphi tvs,auto components,,0
celebi delhi cargo terminal management,aviation,,celebi nas airport services india,aviation,,0
thyssenkrupp industrial solutions,industrial machinery,,thyssenkrupp industries india,industrial machinery,,0
mahindra electric,automobile,,mahindra first choice wheels,automobile,,0
securens system,law enforcement & security,,securitas,law enforcement & security,,0
cygnet infotech,it services & consulting,,cyient,it services & consulting,,0
shriram fortune solutions,financial services,,shriram group,financial services,,0
indian institute of science,education & training,,indian institute of technology gandhinagar,education & training,,0
expleo group,it services & consulting,,expleo solutions,it services & consulting,,0
writer business services,facility management services,,writer information management services,facility management services,,0
career launcher,education & training,,career point,education & training,,0
st. joseph's school,education & training,,st. mary's school,education & training,,0
sbi payment services,financial services,,sbicap securities,financial services,,0
integra micro systems,it services & consulting,,integra software services,it services & consulting,,0
more mega store,retail,,more supermarket,retail,,0
torque pharmaceuticals,pharma,,torrent pharmaceuticals,pharma,,0
virtusa technologies,it services & consulting,,virtusapolaris,it services & consulting,,0
technosoft corporation,it services & consulting,,technosoft global services,it services & consulting,,0
edelweiss broking,financial services,,edelweiss tokio life insurance,financial services,,0
edelweiss broking,financial services,,edelweiss tokio life insurance,financial services,,0
protiviti,management consulting,,protiviti india member,management consulting,,0
prism cement - prism johnson,building material,,prism johnson limited - rmc (india) division,building material,,0
prism cement - prism johnson,building material,,prism johnson limited - rmc (india) division,building material,,0
infoservice,it services & consulting,,infostretch,it services & consulting,,0
inspiredge it solutions,it services & consulting,,inspirisys solution,it services & consulting,,0
harita seating systems,auto components,,harita techserv,auto components,,0
punjab & sind bank,banking,,punjab national bank,banking,,0
ministry of home affairs,government,,ministry of rural development india,government,,0
indiafilings,financial services,,indialends,financial services,,0
indiafilings,financial services,,indialends,financial services,,0
iit kanpur,education & training,,iit madras,education & training,,0
pharmazell,pharma,,pharmed,pharma,,0
meghmani finechem,chemicals,,meghmani organics,chemicals,,0
stj electronics,semiconductors,,stmicroelectronics,semiconductors,,0
axa,insurance,,axa business services,insurance,,0
tirupati group,pharma,,tirupati medicare,pharma,,0
ntrust infotech,it services & consulting,,ntt,it services & consulting,,0
hindustan colas,engineering & construction,,hindustan construction company,engineering & construction,,0
reliance footprint,retail,,reliance fresh,retail,,0
hetero biopharma,pharma,,hetero healthcare,pharma,,0
paytm money,fintech,,paytm payments bank,fintech,,0
printo document services,retail,,prione business services,retail,,0
printo document services,retail,,prione business services,retail,,0
siemens industry software (india),industrial automation,,siemens plm software,industrial automation,,0
manipal group,healthcare,,manipal hospitals,healthcare,,0
"denso haryana private limited, plant 1",auto components,,denso ten minda india,auto components,,0
sourcedesk global,it services & consulting,,sourcehov,it services & consulting,,0
descon,engineering & construction,,desein,engineering & construction,,0
government of gujarat,government,,government of india,government,,0
vardhman acrylics,fashion & textile,,vardhman fabrics,fashion & textile,,0
volvo it,automobile,,volvo trucks,automobile,,0
volvo it,automobile,,volvo trucks,automobile,,0
vardhman acrylics,fashion & textile,,vardhman fabrics,fashion & textile,,0
government of kerala,government,,government of maharashtra,government,,0
st. paul's school,education & training,,st. xavier's high school,education & training,,0
infocus technologies,it services & consulting,,infoesearch ites,it services & consulting,,0
secure network solutions,it services & consulting,,secure value,it services & consulting,,0
sun pharma advanced research company,pharma,,sun pharma laboratories,pharma,,0
deen dayal upadhyay hospital,healthcare,,deenanath mangeshkar hospital,healthcare,,0
eicher,automobile,,eicher motors,automobile,,0
government of haryana,government,,government of kerala,government,,0
computer generated solutions,it services & consulting,,computer junction,it services & consulting,,0
apollo life,healthcare,,apollo medskills,healthcare,,0
daimler,automobile,,daimler india commercial vehicles,automobile,,0
axis mutual fund,financial services,,axis sales,financial services,,0
nineleaps technology solutions,it services & consulting,,ninestars information technologies,it services & consulting,,0
automotive research association of india,auto components,,automotive stampings and assemblies,auto components,,0
axis mutual fund,financial services,,axis sales,financial services,,0
ginesys,it services & consulting,,ginger webs,it services & consulting,,0
ginesys,it services & consulting,,ginger webs,it services & consulting,,0
government of rajasthan,government,,government of west bengal,government,,0
flipboard,internet software & services,palo alto,flipkart,internet,,0
scalable capital,fintech,munich,scalapay,fintech,milan,0
clio,internet software & services,burnaby,clipboard health,internet software & services,san francisco,0
spoton,fintech,san francisco,spotter,fintech,los angeles,0
ripple,fintech,san francisco,rippling,internet software & services,san francisco,0
blockchain.com,fintech,london,blockfi,fintech,jersey city,0
appirio careers,information technology & services,indianapolis,applause careers,information technology & services,framingham,0
healthfirst inc. careers,hospital & health care,new york,healthgrades careers,hospital & health care,denver,0
celerity careers,information technology & services,mclean,celestia,internet software & services,vaduz,0
periscope data careers,computer software,san francisco,peritus.ai careers,computer software,palo alto,0
voxy careers,e-learning,new york,voya financial careers,financial services,new york,0
leadgenius careers,computer software,berkeley,leadiq careers,computer software,redwood city,0
checkbook careers,financial services,san mateo,checkmate services,facility management services,,0
telenet,telecommunications,,telenor,telecom,,0
coloplast,health care,,color,health,burlingame,0
man,industrials,,man energy solutions,industrial machinery,,0
abea,consumer goods,,abelag aviation,consumer services,,0
melissa s.a.,consumer goods,,melitta,consumer goods,,0
heatons,consumer services,,heaven music,consumer services,,0
birel,consumer goods,,birkenstock,consumer goods,,0
coop,consumer services,,coop amba,consumer services,,0
fabbri group,consumer goods,,fabbrica ligure automobili genova,consumer goods,,0
nordica,consumer goods,,nordisk film,consumer services,,0
unicredit,financials,,unicredit bank czech republic and slovakia,financials,,0
diena,consumer services,,diesel,consumer goods,,0
rotarex,industrials,,rotax,industrials,,0
air malta,consumer services,,air mediterranean,consumer services,,0
multikino,consumer services,,multilotto,consumer services,,0
tvn 7,consumer services,,tvn24,consumer services,,0
orange romania,telecommunications,,orange s.a.,telecommunications,,0
brio,consumer goods,,brionvega,consumer goods,,0
pharmacia,health care,,pharmacosmos,health care,,0
sandvik,industrials,,sandvik asia,industrial machinery,,0
audi,car/automobile,,audi careers,automotive,ingolstadt,0
axa,insurance,,axa business services,insurance,,0
taj,hotel,,taj hotels resorts and palaces,hospitality,,0
cold storage,supermarket,,coles,supermarket,,0
anz,bank,,anz banking group,banking,,0
commonwealth,bank,,commonwealth bank of australia,banking,,0
itc,hotel,,itc grand chola chennai,hospitality,,0
oberoi,hotel,,oberoi group of hotels,hospitality,,0
barista (taiwan),coffee/coffee shop,,barista lavazza (india),coffee shop,,0
grand formosa regent,hotel,,grand hyatt,hospitality,,0
grand formosa regent,hotel,,grand hyatt,hotel,,0
petrobras,"['oil&gas', 'energy']",,petrochina,"['oil&gas', 'energy']",,0
axa,"['insurance', 'cac 40']",,axa business services,insurance,,0
waste connections,['waste & recycling'],,waste management,['waste & recycling'],,0
prudential,['insurance'],,prudential financial,['insurance'],,0
